coauthor	all_isiks	all_viafs	localid
$aLilienbach, Juhan,$d1870-1928	ISIK1721	http://viaf.org/viaf/1903147373402141580006	803
$aMaamees,$cpseud.,$d1870-1928	ISIK1721	http://viaf.org/viaf/1903147373402141580006	803
$aMaamees, J.	ISIK1721	http://viaf.org/viaf/1903147373402141580006	803
$aMürgisuu, Jüri,$cpseud.,$d1870-1928	ISIK1721	http://viaf.org/viaf/1903147373402141580006	803
$aLilienblatt, Aleksander,$d1880-1914	ISIK1722	""	804
$aKõiv, Salme,$d1909-2007	ISIK1726	http://viaf.org/viaf/305361387	808
$aKõks, J	ISIK1728	""	810
$aKõks, J.	ISIK1728	""	810
$aKõll, Marta	ISIK1730	""	813
$aOrava, Pearu,$cpseud.,$d1901-1978	ISIK1731	http://viaf.org/viaf/25608969	814
$aKõomägi, Eduard,$d1901-?	ISIK1733	http://viaf.org/viaf/44149542910000302270	816
$aKõpp, Thomas,$d1870-?	ISIK1735	""	818
